Key,Value
"मान लो तुम्हें संस्कृत नहीं आती, दिए गए विकल्पों में से कौन सा शब्द लोहा के सबसे समान है?","['लौह', 'बहि', 'कदा', 'द्वारा']"
"मान लो तुम्हें संस्कृत नहीं आती, दिए गए विकल्पों में से कौन सा शब्द मूल्य के सबसे समान है?","['मूल्य', 'सूर्य', 'शिष्य', 'अमृतम्']"
"मान लो तुम्हें संस्कृत नहीं आती, दिए गए विकल्पों में से कौन सा शब्द अर्थ के सबसे समान है?","['अर्थ', 'अर्ध', 'अग्र', 'अछूत']"
"मान लो तुम्हें संस्कृत नहीं आती, दिए गए विकल्पों में से कौन सा शब्द आधा के सबसे समान है?","['आशा', 'कदा', 'आकाश', 'संबंध']"
"मान लो तुम्हें संस्कृत नहीं आती, दिए गए विकल्पों में से कौन सा शब्द आलस के सबसे समान है?","['आशा', 'गैस', 'बहि', 'लौह']"
"मान लो तुम्हें संस्कृत नहीं आती, दिए गए विकल्पों में से कौन सा शब्द उपेक्षा के सबसे समान है?","['उपेक्षा', 'आपका', 'रक्षक', 'मूल्य']"
"मान लो तुम्हें संस्कृत नहीं आती, दिए गए विकल्पों में से कौन सा शब्द अकाल के सबसे समान है?","['अकाल', 'एकल', 'आकाश', 'अर्थ']"
"मान लो तुम्हें संस्कृत नहीं आती, दिए गए विकल्पों में से कौन सा शब्द अवतार के सबसे समान है?","['अवतार', 'अवतु', 'तारक', 'अर्ध']"
"मान लो तुम्हें संस्कृत नहीं आती, दिए गए विकल्पों में से कौन सा शब्द अवतु के सबसे समान है?","['अवतु', 'अवैध', 'अवतार', 'अलस्य']"
"मान लो तुम्हें संस्कृत नहीं आती, दिए गए विकल्पों में से कौन सा शब्द पृथ्वी के सबसे समान है?","['पृथ्वी', 'त्वम', 'पञ्च', 'उपेक्षा']"
"मान लो तुम्हें संस्कृत नहीं आती, दिए गए विकल्पों में से कौन सा शब्द अचार के सबसे समान है?","['अचारः', 'अग्र', 'अवतार', 'अकाल']"
"मान लो तुम्हें संस्कृत नहीं आती, दिए गए विकल्पों में से कौन सा शब्द अवशोषण के सबसे समान है?","['अवशोषणम्', 'भूषण', 'अश्रु', 'अवतार']"
"मान लो तुम्हें संस्कृत नहीं आती, दिए गए विकल्पों में से कौन सा शब्द प्रवेश  के सबसे समान है?","['प्रवेश', 'प्रकाश', 'प्रशंसा', 'अवतु']"
"मान लो तुम्हें संस्कृत नहीं आती, दिए गए विकल्पों में से कौन सा शब्द स्वतः के सबसे समान है?","['स्वयं', 'त्वम्', 'सेवक', 'पृथ्वी']"
"मान लो तुम्हें संस्कृत नहीं आती, दिए गए विकल्पों में से कौन सा शब्द करने के सबसे समान है?","['करने', 'करति', 'जनि', 'अचारः']"
"मान लो तुम्हें संस्कृत नहीं आती, दिए गए विकल्पों में से कौन सा शब्द राज्य के सबसे समान है?","['राज्य', 'राजन्', 'भाग्य', 'अवशोषणम्']"
"मान लो तुम्हें संस्कृत नहीं आती, दिए गए विकल्पों में से कौन सा शब्द स्थित के सबसे समान है?","['स्थिर', 'स्थिता', 'असित', 'प्रवेश']"
"मान लो तुम्हें संस्कृत नहीं आती, दिए गए विकल्पों में से कौन सा शब्द अविनाशी के सबसे समान है?","['अविनाशिनं', 'विना', 'अश्विनी', 'स्वयं']"
"मान लो तुम्हें संस्कृत नहीं आती, दिए गए विकल्पों में से कौन सा शब्द विचार के सबसे समान है?","['विलाप', 'विना', 'विजय', 'करने']"
"मान लो तुम्हें संस्कृत नहीं आती, दिए गए विकल्पों में से कौन सा शब्द अवैध के सबसे समान है?","['अवैध', 'अंध', 'अवतु', 'राज्य']"
"मान लो तुम्हें संस्कृत नहीं आती, दिए गए विकल्पों में से कौन सा शब्द अदृश्य के सबसे समान है?","['अदृश्यम्', 'अलस्य', 'अलग्न', 'स्थिता']"
"मान लो तुम्हें संस्कृत नहीं आती, दिए गए विकल्पों में से कौन सा शब्द असमर्थ के सबसे समान है?","['असमर्थः', 'अर्थ', 'सूर्य', 'अविनाशिनं']"
"मान लो तुम्हें संस्कृत नहीं आती, दिए गए विकल्पों में से कौन सा शब्द भोजन के सबसे समान है?","['भोजन', 'राजन्', 'युज', 'विचारानि']"
"मान लो तुम्हें संस्कृत नहीं आती, दिए गए विकल्पों में से कौन सा शब्द अशुद्ध के सबसे समान है?","['अशुद्ध', 'अशुद्धि', 'अशुभं', 'अवैध']"
"मान लो तुम्हें संस्कृत नहीं आती, दिए गए विकल्पों में से कौन सा शब्द अशुभ के सबसे समान है?","['अशुभं', 'अनुभव', 'अंध', 'अदृश्यम्']"
"मान लो तुम्हें संस्कृत नहीं आती, दिए गए विकल्पों में से कौन सा शब्द खाना के सबसे समान है?","['पापा', 'विना', 'माता', 'असमर्थः']"
"मान लो तुम्हें संस्कृत नहीं आती, दिए गए विकल्पों में से कौन सा शब्द आनंद के सबसे समान है?","['आनन्द', 'अंध', 'जनि', 'भोजन']"
"मान लो तुम्हें संस्कृत नहीं आती, दिए गए विकल्पों में से कौन सा शब्द आँसू के सबसे समान है?","['आकाश', 'आपका', 'सह', 'अशुद्ध']"
"मान लो तुम्हें संस्कृत नहीं आती, दिए गए विकल्पों में से कौन सा शब्द अश्विनी के सबसे समान है?","['अश्विनी', 'तपस्विन्', 'अश्रु', 'अशुभं']"
"मान लो तुम्हें संस्कृत नहीं आती, दिए गए विकल्पों में से कौन सा शब्द आठ के सबसे समान है?","['मम', 'सह', 'पद', 'खादतु']"
"मान लो तुम्हें संस्कृत नहीं आती, दिए गए विकल्पों में से कौन सा शब्द एक के सबसे समान है?","['एकल', 'मम', 'सह', 'आनन्द']"
"मान लो तुम्हें संस्कृत नहीं आती, दिए गए विकल्पों में से कौन सा शब्द दो के सबसे समान है?","['मम', 'कदा', 'देव', 'अश्रु']"
"मान लो तुम्हें संस्कृत नहीं आती, दिए गए विकल्पों में से कौन सा शब्द पाँच के सबसे समान है?","['पञ्च', 'पापा', 'तारक', 'अश्विनी']"
"मान लो तुम्हें संस्कृत नहीं आती, दिए गए विकल्पों में से कौन सा शब्द असिता के सबसे समान है?","['असित', 'अमृता', 'झटिति', 'अष्ट']"
"मान लो तुम्हें संस्कृत नहीं आती, दिए गए विकल्पों में से कौन सा शब्द लिखना के सबसे समान है?","['लिखतु', 'विना', 'तुलना', 'एकम्']"
"मान लो तुम्हें संस्कृत नहीं आती, दिए गए विकल्पों में से कौन सा शब्द प्यारे के सबसे समान है?","['द्वारा', 'तारक', 'पाषाण', 'द्वे']"
"मान लो तुम्हें संस्कृत नहीं आती, दिए गए विकल्पों में से कौन सा शब्द मित्र के सबसे समान है?","['मित्रा', 'मातृ', 'रात्रि', 'पञ्च']"
"मान लो तुम्हें संस्कृत नहीं आती, दिए गए विकल्पों में से कौन सा शब्द गीतों के सबसे समान है?","['गीतानि', 'मातृ', 'करति', 'असित']"
"मान लो तुम्हें संस्कृत नहीं आती, दिए गए विकल्पों में से कौन सा शब्द विजय के सबसे समान है?","['विजय', 'विना', 'युज', 'लिखतु']"
"मान लो तुम्हें संस्कृत नहीं आती, दिए गए विकल्पों में से कौन सा शब्द आपके के सबसे समान है?","['आपका', 'एकल', 'उपरि', 'प्रियम्']"
"मान लो तुम्हें संस्कृत नहीं आती, दिए गए विकल्पों में से कौन सा शब्द भाई के सबसे समान है?","['भाग', 'भाग', 'तारक', 'मित्रा']"
"मान लो तुम्हें संस्कृत नहीं आती, दिए गए विकल्पों में से कौन सा शब्द तुच्छ के सबसे समान है?","['तुच्छम्', 'तुलना', 'तारक', 'गीतानि']"
"मान लो तुम्हें संस्कृत नहीं आती, दिए गए विकल्पों में से कौन सा शब्द आकाश के सबसे समान है?","['आकाश', 'आपका', 'अकाल', 'सह']"
"मान लो तुम्हें संस्कृत नहीं आती, दिए गए विकल्पों में से कौन सा शब्द ऊपर के सबसे समान है?","['उपरि', 'पद', 'अधर', 'विजय']"
"मान लो तुम्हें संस्कृत नहीं आती, दिए गए विकल्पों में से कौन सा शब्द स्वर्ग के सबसे समान है?","['स्वर्ग', 'त्वम्', 'सूर्य', 'आपका']"
"मान लो तुम्हें संस्कृत नहीं आती, दिए गए विकल्पों में से कौन सा शब्द देवता के सबसे समान है?","['देव', 'अमृता', 'सेवक', 'भ्राता']"
"मान लो तुम्हें संस्कृत नहीं आती, दिए गए विकल्पों में से कौन सा शब्द प्रकाश के सबसे समान है?","['प्रकाश', 'प्राकार', 'प्रवेश', 'तुच्छम्']"
"मान लो तुम्हें संस्कृत नहीं आती, दिए गए विकल्पों में से कौन सा शब्द सूरज के सबसे समान है?","['सूर्य', 'तारक', 'युज', 'आकाश']"
"मान लो तुम्हें संस्कृत नहीं आती, दिए गए विकल्पों में से कौन सा शब्द प्रकार के सबसे समान है?","['प्राकार', 'प्रकाश', 'प्रवेश', 'उपरि']"
"मान लो तुम्हें संस्कृत नहीं आती, दिए गए विकल्पों में से कौन सा शब्द उत्कृष्ट के सबसे समान है?","['प्रकृष्ट', 'त्वम्', 'अष्ट', 'स्वर्ग']"
"मान लो तुम्हें संस्कृत नहीं आती, दिए गए विकल्पों में से कौन सा शब्द रत्न के सबसे समान है?","['रत्न', 'राजन्', 'रात्रि', 'देव']"
"मान लो तुम्हें संस्कृत नहीं आती, दिए गए विकल्पों में से कौन सा शब्द हृदय के सबसे समान है?","['हृदयम्', 'कदा', 'विजय', 'प्रकाश']"
"मान लो तुम्हें संस्कृत नहीं आती, दिए गए विकल्पों में से कौन सा शब्द स्थायी के सबसे समान है?","['स्वामी', 'स्नाना', 'स्थिर', 'सूर्य']"
"मान लो तुम्हें संस्कृत नहीं आती, दिए गए विकल्पों में से कौन सा शब्द कभी के सबसे समान है?","['कदा', 'नदी', 'बहि', 'प्राकार']"
"मान लो तुम्हें संस्कृत नहीं आती, दिए गए विकल्पों में से कौन सा शब्द आगे के सबसे समान है?","['आशा', 'बहि', 'अंध', 'प्रकृष्ट']"
"मान लो तुम्हें संस्कृत नहीं आती, दिए गए विकल्पों में से कौन सा शब्द दिन के सबसे समान है?","['दिवस', 'देव', 'विना', 'रत्न']"
"मान लो तुम्हें संस्कृत नहीं आती, दिए गए विकल्पों में से कौन सा शब्द दुख के सबसे समान है?","['दुःख', 'युज', 'देव', 'हृदयम्']"
"मान लो तुम्हें संस्कृत नहीं आती, दिए गए विकल्पों में से कौन सा शब्द विचित्र के सबसे समान है?","['विचित्रम्', 'मित्रा', 'क्षेत्र', 'स्थिर']"
"मान लो तुम्हें संस्कृत नहीं आती, दिए गए विकल्पों में से कौन सा शब्द तुम के सबसे समान है?","['युज', 'मम', 'त्वम', 'कदा']"
"मान लो तुम्हें संस्कृत नहीं आती, दिए गए विकल्पों में से कौन सा शब्द सेवक के सबसे समान है?","['सेवक', 'देव', 'तारक', 'अग्र']"
"मान लो तुम्हें संस्कृत नहीं आती, दिए गए विकल्पों में से कौन सा शब्द घर के सबसे समान है?","['मम', 'सह', 'पद', 'दिवस']"
"मान लो तुम्हें संस्कृत नहीं आती, दिए गए विकल्पों में से कौन सा शब्द मेरी के सबसे समान है?","['तारक', 'मातृ', 'मम', 'दुःख']"
"मान लो तुम्हें संस्कृत नहीं आती, दिए गए विकल्पों में से कौन सा शब्द तुझे के सबसे समान है?","['तारक', 'युज', 'त्वम', 'विचित्रम्']"
"मान लो तुम्हें संस्कृत नहीं आती, दिए गए विकल्पों में से कौन सा शब्द तपस्वी के सबसे समान है?","['तपस्विन्', 'त्वम', 'पृथ्वी', 'त्वम']"
"मान लो तुम्हें संस्कृत नहीं आती, दिए गए विकल्पों में से कौन सा शब्द शिष्य के सबसे समान है?","['शिष्य', 'शतम्', 'सूर्य', 'सेवक']"
"मान लो तुम्हें संस्कृत नहीं आती, दिए गए विकल्पों में से कौन सा शब्द हमेशा के सबसे समान है?","['अमृता', 'आशा', 'माता', 'गृहम्']"
"मान लो तुम्हें संस्कृत नहीं आती, दिए गए विकल्पों में से कौन सा शब्द प्रशंसा के सबसे समान है?","['प्रशंसा', 'प्राकार', 'प्रकाश', 'मम']"
"मान लो तुम्हें संस्कृत नहीं आती, दिए गए विकल्पों में से कौन सा शब्द शाम के सबसे समान है?","['शतम्', 'मम', 'आशा', 'त्वम्']"
"मान लो तुम्हें संस्कृत नहीं आती, दिए गए विकल्पों में से कौन सा शब्द जाती के सबसे समान है?","['जमातृ', 'मातृ', 'माता', 'तपस्विन्']"
"मान लो तुम्हें संस्कृत नहीं आती, दिए गए विकल्पों में से कौन सा शब्द सौ के सबसे समान है?","['सह', 'सह', 'सह', 'शिष्य']"
"मान लो तुम्हें संस्कृत नहीं आती, दिए गए विकल्पों में से कौन सा शब्द खाता के सबसे समान है?","['माता', 'मातृ', 'खादतु', 'सदैव']"
"मान लो तुम्हें संस्कृत नहीं आती, दिए गए विकल्पों में से कौन सा शब्द अमरता के सबसे समान है?","['अमृता', 'माता', 'जमातृ', 'प्रशंसा']"
"मान लो तुम्हें संस्कृत नहीं आती, दिए गए विकल्पों में से कौन सा शब्द करते के सबसे समान है?","['करति', 'करने', 'मातृ', 'संध्या']"
"मान लो तुम्हें संस्कृत नहीं आती, दिए गए विकल्पों में से कौन सा शब्द अलग के सबसे समान है?","['अंध', 'अलग्न', 'अंत', 'जनि']"
"मान लो तुम्हें संस्कृत नहीं आती, दिए गए विकल्पों में से कौन सा शब्द आभूषण के सबसे समान है?","['भूषण', 'पाषाण', 'आकाश', 'शतम्']"
"मान लो तुम्हें संस्कृत नहीं आती, दिए गए विकल्पों में से कौन सा शब्द रात के सबसे समान है?","['मातृ', 'अंत', 'भाग', 'खादाम्']"
"मान लो तुम्हें संस्कृत नहीं आती, दिए गए विकल्पों में से कौन सा शब्द माँ के सबसे समान है?","['मातृ', 'मम', 'भाग', 'अमृता']"
"मान लो तुम्हें संस्कृत नहीं आती, दिए गए विकल्पों में से कौन सा शब्द पालन के सबसे समान है?","['पालनम्', 'पापा', 'तारक', 'करति']"
"मान लो तुम्हें संस्कृत नहीं आती, दिए गए विकल्पों में से कौन सा शब्द राक्षसों के सबसे समान है?","['राक्षसाः', 'रक्षक', 'रात्रि', 'अलग्न']"
"मान लो तुम्हें संस्कृत नहीं आती, दिए गए विकल्पों में से कौन सा शब्द अकेला के सबसे समान है?","['अकाल', 'एकल', 'अमृता', 'भूषण']"
"मान लो तुम्हें संस्कृत नहीं आती, दिए गए विकल्पों में से कौन सा शब्द योग के सबसे समान है?","['युज', 'भाग', 'भाग', 'रात्रि']"
"मान लो तुम्हें संस्कृत नहीं आती, दिए गए विकल्पों में से कौन सा शब्द सौभाग्य के सबसे समान है?","['सौभाग्यम्', 'भाग्य', 'सूर्य', 'मातृ']"
"मान लो तुम्हें संस्कृत नहीं आती, दिए गए विकल्पों में से कौन सा शब्द राजा के सबसे समान है?","['राजन्', 'राज्य', 'पापा', 'पालनम्']"
"मान लो तुम्हें संस्कृत नहीं आती, दिए गए विकल्पों में से कौन सा शब्द स्वतंत्र के सबसे समान है?","['स्वातंत्र्य', 'स्वर्ग', 'स्वयं', 'राक्षसाः']"
"मान लो तुम्हें संस्कृत नहीं आती, दिए गए विकल्पों में से कौन सा शब्द अंधे के सबसे समान है?","['अंध', 'अंत', 'अधर', 'एकल']"
"मान लो तुम्हें संस्कृत नहीं आती, दिए गए विकल्पों में से कौन सा शब्द तेल के सबसे समान है?","['एकल', 'देव', 'तारक', 'युज']"
"मान लो तुम्हें संस्कृत नहीं आती, दिए गए विकल्पों में से कौन सा शब्द स्नान के सबसे समान है?","['स्नाना', 'स्थिर', 'स्वयं', 'सौभाग्यम्']"
"मान लो तुम्हें संस्कृत नहीं आती, दिए गए विकल्पों में से कौन सा शब्द तेज के सबसे समान है?","['तेजस्', 'युज', 'देव', 'राजन्']"
"मान लो तुम्हें संस्कृत नहीं आती, दिए गए विकल्पों में से कौन सा शब्द झटके के सबसे समान है?","['झटिति', 'एकल', 'आपका', 'स्वातंत्र्य']"
"मान लो तुम्हें संस्कृत नहीं आती, दिए गए विकल्पों में से कौन सा शब्द अशुद्धता के सबसे समान है?","['अशुद्धि', 'अशुद्ध', 'अमृता', 'अंध']"
"मान लो तुम्हें संस्कृत नहीं आती, दिए गए विकल्पों में से कौन सा शब्द संस्कार के सबसे समान है?","['संस्कारा', 'संध्या', 'स्थिर', 'तैलम्']"
"मान लो तुम्हें संस्कृत नहीं आती, दिए गए विकल्पों में से कौन सा शब्द जमाई के सबसे समान है?","['जमातृ', 'मातृ', 'जनि', 'शरीरा']"
"मान लो तुम्हें संस्कृत नहीं आती, दिए गए विकल्पों में से कौन सा शब्द पत्थर के सबसे समान है?","['त्वम', 'अग्र', 'स्थिर', 'स्नाना']"
"मान लो तुम्हें संस्कृत नहीं आती, दिए गए विकल्पों में से कौन सा शब्द बाहर के सबसे समान है?","['बहि', 'तारक', 'मातृ', 'तेजस्']"
"मान लो तुम्हें संस्कृत नहीं आती, दिए गए विकल्पों में से कौन सा शब्द तारा के सबसे समान है?","['तारक', 'पापा', 'माता', 'झटिति']"
